20,-1,51,23,-1,-1,-1,155,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,122,-1,122,122,122,122,122,122,122,122
40,41,41,41,41,41,41,41,41,41,41,41,42,-1,-1,-1,110,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,23,3,-1,-1,3,122,122,122,122,122,122,122,122
-1,-1,-1,-1,-1,23,-1,-1,-1,-1,110,-1,-1,-1,-1,110,-1,-1,-1,-1,-1,-1,-1,149,-1,-1,-1,-1,122,-1,122,-1,-1,122,122,122,127,122,122,122
-1,3,-1,-1,-1,-1,-1,-1,110,-1,-1,-1,-1,110,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,122,-1,122,-1,122,122,122,122,122,122
-1,-1,149,-1,-1,-1,-1,-1,-1,-1,-1,110,-1,-1,-1,23,-1,-1,65,66,-1,3,23,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,122,23,122,122,122
-1,-1,-1,-1,-1,-1,-1,-1,-1,110,-1,-1,-1,-1,-1,-1,-1,-1,85,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,122,-1,-1,122,-1,-1,122,122,122
-1,-1,-1,-1,3,23,-1,-1,160,161,161,161,162,-1,-1,-1,136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,122,122
-1,-1,-1,-1,-1,-1,-1,-1,180,146,-1,-1,182,-1,-1,-1,-1,-1,-1,-1,-1,-1,149,-1,-1,-1,-1,-1,149,-1,-1,149,-1,148,-1,-1,122,-1,-1,129
-1,-1,23,-1,-1,-1,-1,-1,180,-1,-1,146,182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,152,149,-1,91,92,-1,149,91,92,-1,156,-1,-1,113,129,122
-1,-1,-1,-1,-1,-1,-1,-1,200,201,203,201,202,-1,-1,-1,-1,-1,-1,149,-1,126,-1,-1,149,-1,-1,111,112,-1,-1,111,112,149,91,92,122,-1,129,129
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,-1,-1,-1,-1,-1,-1,149,-1,-1,-1,-1,-1,149,-1,-1,149,91,92,149,195,196,-1,149,111,112,113,129,122,3
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,97,-1,-1,-1,23,-1,-1,97,126,-1,126,-1,91,92,149,-1,111,112,149,215,216,149,92,-1,-1,129,129,129,122
-1,-1,23,-1,-1,-1,-1,3,-1,-1,80,61,61,61,61,61,61,61,61,101,146,105,146,111,112,-1,-1,149,91,92,-1,149,111,112,-1,113,129,129,-1,122
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,146,146,146,-1,-1,-1,23,-1,149,111,112,149,-1,91,113,-1,129,129,-1,113,-1
-1,-1,-1,-1,125,23,-1,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,149,-1,-1,-1,-1,-1,-1,-1,149,111,112,129,129,113,-1,-1,-1
-1,-1,-1,-1,145,-1,-1,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,152,-1,-1,-1,-1,-1,-1,-1,149,-1,152,-1,129,-1,113,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,150,150,-1,-1,-1,23,-1,-1,-1,113,-1,-1,129,129,-1,113,-1,-1,-1,-1
-1,-1,-1,-1,3,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,3,131,130,-1,-1,-1,3,3,-1,-1,-1,113,129,129,113,113,-1,-1,-1,-1,-1
-1,-1,23,-1,-1,-1,-1,3,-1,-1,-1,-1,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,113,-1,113,129,129,113,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,113,-1,-1,-1,129,-1,113,113,113,-1,-1,-1,-1,-1,-1
