78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
30,3,4,2,1,2,4,4,1,3,1,3,78,3,1,4,3,1,2,4,1,3,4,3,25
20,27,18,7,9,28,28,28,6,26,29,7,17,29,16,18,27,28,9,6,17,16,7,8,25
30,28,26,7,6,29,28,7,18,17,18,6,27,9,8,8,9,27,27,28,17,16,26,6,25
30,19,18,29,27,16,28,19,16,27,16,6,28,26,17,26,27,9,6,26,17,17,19,28,35
20,16,27,29,18,26,18,9,17,9,7,8,18,16,6,8,28,29,7,19,17,27,19,6,5
30,26,26,29,18,16,26,7,16,6,27,7,6,27,26,7,29,28,6,17,26,26,29,18,15
10,27,17,26,19,28,28,17,19,7,28,8,26,16,8,6,9,7,19,28,6,7,27,7,25
10,9,19,7,16,18,8,8,28,9,8,27,6,28,17,27,18,27,6,7,26,9,6,8,15
78,19,19,28,17,7,17,7,16,26,29,6,27,27,6,7,17,29,16,9,18,16,7,29,78
10,29,28,9,8,19,16,7,26,7,19,19,17,16,27,6,6,9,7,26,18,19,26,7,15
20,19,27,19,27,17,6,7,7,28,17,6,16,28,9,17,6,27,17,19,19,28,9,19,25
0,28,16,17,28,16,9,18,9,28,28,17,29,29,9,16,7,19,19,26,19,6,16,27,15
10,26,17,7,27,8,9,29,19,18,29,9,27,17,19,18,27,19,19,18,6,26,18,19,15
20,17,17,28,26,28,29,29,6,28,28,16,7,16,17,28,18,18,6,7,6,29,8,8,15
20,16,9,26,18,8,8,28,17,18,16,27,28,19,29,16,29,29,6,19,18,7,9,28,35
10,18,18,8,29,18,29,7,7,17,29,28,29,7,29,18,29,17,19,19,18,27,26,9,15
40,42,42,44,42,42,43,41,43,43,44,42,78,42,44,43,43,41,41,41,44,44,43,42,45
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
